32
0.060667	0.656960	0
0.462375	0.983561	0
0.141913	0.475223	0
0.925134	0.210170	0
0.640796	0.774670	0
0.003258	0.690446	0
0.430073	0.992126	0
0.982924	0.439988	0
0.705482	0.769368	0
0.573902	0.245920	0
0.466904	0.235079	0
0.903786	0.333014	0
0.205206	0.432355	0
0.953648	0.102985	0
0.326893	0.166836	0
0.542869	0.714674	0
0.698338	0.185715	0
0.117026	0.830854	0
0.800370	0.844767	0
0.491894	0.479352	0
0.816144	0.091812	0
0.058064	0.049015	0
0.811293	0.021840	0
0.152962	0.829560	0
0.764242	0.816621	0
0.838732	0.670946	0
0.904628	0.109139	0
0.184080	0.020139	0
0.992372	0.958853	0
0.802647	0.116886	0
0.308197	0.439667	0
0.569480	0.047003	0
